Histone	LinkerHistone	Acetyltransf_1	GNAT_acetyltr_2	Hat1_N	KAT11	MOZ_SAS	Hist_deacetyl	SIR2	DOT1	SET	SWIRM	CupinJmjC	ADD_ATRX	ADD_DNMT3	BAH	BIR	Bromodomain	Chromo	ING	MBT	MRG	PHD	PWWP	SAWADEE	TTD	TUDOR	zf-CW	YEATS	SNF2_N	ASF1_hist_chap	CAF1A	CHZ	Daxx	Hira	HJURP_mid	NAP	Rtt106	SPT16	SSrecog	zf-CCHH	UBN_AB	Nucleoplasmin	ATF7IP	PA1	Dpy-30	Menin	NCOA6	PTIP	TRRAP	AF9	PCRing	YAF2_RYBP	SAM	SLED	Suz12	CAF1C	Kelch	zf-C2H2	zf-CXXC	WD40
Acropora digitifera	38	9	18	1	1	2	6	9	10	2	34	6	30	1	1	9	3	23	16	2	6	2	38	12	0	1	21	5	2	24	1	1	0	0	1	0	2	2	1	1	4	1	1	0	1	5	1	1	15	9	1	8	1	72	5	1	1	72	114	6	228
Stylophora pistillata	51	12	31	1	1	1	4	6	9	3	32	5	40	1	1	5	4	22	31	3	7	2	38	11	0	1	17	6	3	23	1	1	1	1	1	0	2	2	1	1	2	1	2	0	1	4	1	1	17	4	1	12	1	64	4	1	2	103	119	5	206
Hydra vulgaris	23	5	18	1	1	1	5	8	3	2	46	2	20	1	1	5	4	17	15	3	9	2	49	7	0	1	17	2	3	31	2	1	0	0	1	0	2	2	1	1	4	1	3	0	1	4	0	0	19	5	1	3	0	51	3	1	2	29	102	4	190
Clytia hemisphaerica	20	1	14	1	1	1	5	7	6	2	39	4	30	1	1	6	2	16	24	3	5	2	42	9	0	1	17	4	2	24	1	1	0	0	0	0	2	2	1	2	3	1	2	0	1	4	0	0	16	4	1	3	1	51	3	1	1	32	217	4	166
Aurelia aurita	13	4	25	2	0	1	5	13	7	1	43	3	33	1	1	5	1	20	12	1	5	2	45	8	0	1	18	6	0	45	1	0	0	0	2	0	2	2	2	0	6	2	1	0	0	1	1	0	14	10	0	4	2	37	1	1	1	30	128	2	222
Morbakka virulenta	21	6	19	2	1	1	3	9	7	5	25	4	43	1	1	7	5	23	15	6	6	2	50	10	0	1	20	4	3	36	1	1	0	0	3	0	2	2	1	1	4	1	3	0	1	5	2	0	15	6	1	6	1	55	3	2	2	43	112	5	235
Trichoplax adhaerens	16	1	29	1	1	1	5	7	8	1	16	3	37	0	0	4	1	15	7	3	6	2	27	5	0	0	6	0	3	18	1	1	0	0	0	0	2	2	1	1	3	1	1	0	1	5	0	0	15	5	1	4	1	26	0	1	2	22	35	2	190
Mnemiopsis leidyi	12	3	15	1	1	1	4	5	9	5	25	3	12	1	1	5	1	19	9	3	1	3	37	6	0	1	21	4	3	17	1	1	0	0	0	0	2	2	1	1	1	1	1	0	0	4	0	0	11	3	1	2	0	19	0	1	2	37	122	2	142
Amphimedon queenslandica	25	3	18	1	1	3	4	9	13	2	22	13	30	0	1	8	6	33	20	3	4	1	57	7	0	1	17	2	4	40	1	1	0	0	2	0	2	3	1	2	4	1	3	0	1	4	0	0	19	7	1	2	1	64	1	1	2	185	34	19	223
Tethya wilhelma	22	2	44	1	1	2	4	13	16	1	27	4	30	1	2	8	3	21	10	4	2	2	63	12	0	1	20	3	3	35	1	1	0	0	2	0	4	1	2	1	8	1	3	0	0	3	0	0	22	8	1	3	1	70	1	2	2	313	35	20	262
Ephydatia muelleri	83	2	17	1	0	1	7	5	8	1	20	4	40	0	0	10	2	19	57	3	1	2	54	12	0	3	28	1	2	33	1	2	0	0	2	0	2	2	3	1	4	3	1	0	1	2	0	0	25	12	1	2	2	113	1	1	2	75	39	9	203
Oscarella carmela	12	1	7	1	1	1	3	4	7	1	14	2	24	0	0	3	4	15	6	1	1	2	11	5	0	1	12	3	2	18	1	0	0	0	1	0	2	2	1	1	1	1	1	0	0	1	0	1	8	3	1	1	0	36	0	1	0	46	14	1	116
Sycon ciliatum	27	2	29	1	1	5	4	8	7	2	37	3	52	1	1	7	7	46	31	3	16	5	60	27	0	1	30	3	2	27	1	1	0	0	2	0	4	2	1	1	5	1	5	0	0	10	0	0	19	10	0	3	1	70	5	2	2	43	118	6	214
Leucosolenia complicata	115	28	32	1	1	5	7	14	14	4	28	4	62	0	1	3	4	37	42	3	13	4	51	15	0	1	47	10	4	33	1	1	0	0	1	0	24	4	1	1	6	1	9	0	0	7	0	0	13	8	0	5	1	78	2	3	5	64	117	9	434
Monosiga brevicollis	18	1	15	1	1	1	4	3	5	2	20	1	45	0	0	4	1	18	3	2	2	2	12	5	0	0	1	0	1	25	1	1	0	0	0	0	1	1	2	1	1	0	1	0	0	5	0	0	5	3	0	2	0	25	0	2	2	27	15	0	125
Salpingoeca rosetta	18	1	19	1	1	2	3	4	7	3	18	1	50	0	0	6	1	20	22	3	2	4	13	3	0	0	1	1	1	26	0	1	0	0	1	0	1	2	1	1	2	1	2	0	0	5	0	0	11	4	0	3	0	35	0	1	2	16	33	0	167
Capsaspora owczarzaki	26	2	16	1	1	1	3	6	5	3	22	3	19	0	0	3	1	16	11	2	1	1	23	2	0	0	1	0	3	24	1	1	0	0	1	0	2	2	1	1	4	0	1	0	0	1	0	0	12	5	0	2	0	22	0	0	2	10	12	0	129
Ministeria vibrans	5	0	4	0	1	2	1	9	5	1	6	2	14	0	0	1	0	7	3	0	1	0	9	3	0	0	2	0	0	20	0	0	0	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	4	2	0	0	0	9	0	0	1	21	2	0	97
Sphaeroforma arctica	19	2	17	1	1	3	3	8	8	3	33	1	19	0	0	2	1	16	20	3	0	3	21	3	0	0	1	0	3	26	1	1	1	0	1	0	2	3	1	1	0	0	1	0	0	1	0	0	11	6	0	0	0	8	0	0	4	8	61	0	114
Creolimax fragrantissima	17	1	19	1	1	2	3	8	7	1	24	1	18	0	0	2	1	17	3	2	0	2	24	3	0	0	1	0	2	20	2	1	1	0	1	0	2	3	1	1	0	0	1	0	0	1	0	0	10	5	0	0	0	7	0	0	3	9	17	0	118
Ichthyophonus hoferi	5	0	10	1	1	3	2	4	3	2	14	4	7	0	0	2	0	20	3	2	0	1	15	4	0	0	3	0	2	25	1	1	0	0	1	0	2	3	1	1	0	0	2	0	0	1	0	0	10	6	0	0	0	7	0	0	4	3	10	0	101
Chromosphaera perkinsii	16	1	21	1	1	1	3	7	8	2	24	4	18	0	0	1	1	12	29	2	0	1	19	4	0	0	2	1	3	21	1	1	1	0	1	0	1	2	1	1	1	0	2	0	0	5	0	0	9	4	0	1	0	10	0	0	2	16	14	0	168
Corallochytrium limacisporum	13	1	22	1	1	1	3	10	6	1	13	3	12	0	0	2	1	10	2	3	0	1	20	3	0	0	1	0	2	21	1	1	0	0	1	0	2	3	1	1	0	0	1	0	0	2	0	0	8	3	1	0	0	7	0	0	2	8	10	0	105
Schizosaccharomyces pombe	21	0	18	1	1	1	2	3	3	0	12	7	7	0	0	3	1	9	7	3	0	1	14	3	0	0	1	0	2	21	1	1	1	0	2	0	3	3	1	1	0	0	2	0	0	1	0	0	7	6	0	0	0	4	0	0	4	3	13	0	91
Neurospora crassa	15	1	23	1	1	1	3	4	7	1	20	4	9	0	0	2	1	8	8	2	0	1	14	1	0	0	1	0	2	27	1	1	1	0	1	0	2	3	1	1	0	0	1	0	0	1	0	0	7	4	0	0	0	4	0	1	2	7	32	0	89
Tuber melanosporum	13	1	12	1	1	1	3	4	2	1	9	4	8	0	0	3	1	7	3	2	0	1	8	1	0	0	1	0	2	21	1	1	0	0	1	0	3	3	1	1	0	0	1	0	0	0	0	0	6	4	0	0	0	4	0	1	2	3	27	0	87
Saccharomyces cerevisiae	16	1	12	1	1	1	3	5	5	1	8	5	3	0	0	5	1	10	2	2	0	1	10	2	0	0	0	0	3	18	1	1	1	0	2	0	2	3	1	1	0	0	2	0	0	1	0	0	8	4	0	0	0	1	0	0	3	4	25	0	73
Cryptococcus neoformans	13	2	13	1	1	1	3	7	5	1	11	2	8	0	0	2	1	11	8	3	0	1	12	2	0	0	1	0	1	22	1	1	0	0	1	0	2	2	1	1	0	1	1	0	0	0	0	0	5	5	0	0	0	4	0	0	2	4	17	0	85
Coprinopsis cinerea	20	3	26	1	1	1	3	6	8	2	24	2	7	0	0	5	1	9	7	4	0	1	12	2	0	0	2	0	1	28	1	1	1	0	1	0	2	3	1	1	0	1	1	0	0	0	0	0	7	3	0	0	0	3	0	0	2	4	38	0	103
Ustilago maydis	14	1	17	1	1	1	3	6	5	1	11	2	10	0	0	2	1	11	2	3	0	1	9	2	0	0	1	0	1	19	1	1	1	0	1	0	2	2	1	1	0	1	1	0	0	0	0	0	4	3	0	0	0	3	0	0	2	5	19	0	86
Mortierella elongata	22	3	43	1	1	1	3	9	6	1	22	6	12	0	0	3	1	16	12	2	0	1	21	2	0	0	1	0	4	23	1	1	2	0	1	0	3	3	1	1	0	1	2	0	0	1	0	0	6	5	0	0	0	7	0	0	2	21	84	0	328
Rhizophagus irregularis	30	4	17	1	1	1	5	7	5	1	34	13	8	0	0	2	1	59	103	3	1	4	15	3	0	0	1	0	3	20	1	0	0	0	1	0	2	2	1	1	0	1	0	0	0	1	0	0	9	4	0	0	0	21	0	1	2	26	51	0	135
Phycomyces blakesleeanus	26	0	26	1	1	1	4	7	4	2	17	11	11	0	0	3	1	14	19	3	0	2	16	2	0	0	2	0	3	22	1	0	0	0	1	0	3	3	1	1	0	1	1	0	0	1	0	0	7	3	0	0	0	9	0	0	4	16	83	0	147
Mucor circinelloides	19	1	42	1	1	1	6	8	5	2	23	9	8	0	0	2	1	20	9	4	0	2	16	1	0	0	1	0	4	23	1	1	0	0	1	0	3	2	1	1	0	0	1	0	0	1	0	0	9	4	0	0	0	9	0	0	4	10	84	0	150
Rhizopus delemar	19	3	26	1	1	1	5	7	4	3	22	11	9	0	0	2	0	17	188	3	0	2	22	3	0	0	1	0	2	29	1	2	1	0	1	0	5	3	1	1	0	1	3	0	0	0	0	0	7	5	0	0	0	11	0	0	2	14	76	0	149
Umbelopsis ramanniana	16	3	37	1	1	1	4	5	4	1	19	7	7	0	0	1	0	12	5	4	0	2	20	3	0	0	1	0	3	22	1	1	1	0	1	0	2	3	1	1	0	1	3	0	0	1	0	0	7	4	0	0	0	9	0	0	3	8	47	0	126
Coemansia reversa	16	0	14	1	1	1	3	6	5	1	11	4	6	0	0	3	1	11	10	1	0	1	11	2	0	0	1	0	3	18	1	1	0	0	0	0	2	2	1	1	0	0	1	0	0	0	0	0	5	2	0	0	0	4	0	0	2	4	25	0	97
Conidiobolus coronatus	17	1	25	1	1	1	3	4	4	1	12	4	12	0	0	3	0	8	9	1	0	2	12	2	0	0	1	0	4	13	1	1	0	0	0	0	3	2	1	1	0	0	1	0	0	0	0	0	3	3	0	0	0	9	0	0	2	16	53	0	91
Gonapodya prolifera	14	3	34	1	1	1	4	8	9	0	17	8	15	0	0	2	2	10	9	4	0	1	13	1	0	0	1	0	2	25	1	1	0	0	1	0	2	3	1	1	1	1	1	0	0	3	0	0	9	5	0	1	0	3	0	0	2	4	53	0	116
Piromyces spE2	10	1	26	0	1	1	3	5	10	1	14	3	1	0	0	2	1	14	16	2	0	1	6	0	0	0	2	0	2	17	1	0	1	0	1	0	2	3	1	1	0	0	1	0	0	2	0	0	12	4	0	0	0	9	0	0	2	3	35	0	128
Batrachochytrium dendrobatidis	13	1	18	1	1	1	2	4	4	1	14	6	5	0	0	1	1	10	9	2	0	1	8	1	0	0	1	0	2	18	1	1	1	0	1	0	1	3	1	1	0	1	1	0	0	3	0	0	4	5	0	0	0	2	0	0	2	5	26	0	140
Spizellomyces punctatus	19	2	25	1	1	0	3	7	5	1	22	6	12	0	0	2	1	17	13	6	1	2	19	3	0	0	1	0	3	29	1	1	2	0	1	0	1	3	1	1	3	1	1	0	0	3	0	0	9	5	0	2	0	10	0	1	2	12	53	0	162
Allomyces macrogynus	20	0	35	2	2	2	4	9	10	2	31	6	17	0	0	2	2	22	12	6	0	2	19	3	0	0	2	0	6	52	2	2	2	0	0	0	4	6	2	2	0	0	1	0	0	3	0	0	10	7	0	0	0	17	0	0	6	11	43	0	260
Catenaria anguillulae	16	0	19	1	1	1	2	4	4	1	20	3	10	0	0	1	2	11	8	2	0	1	9	2	0	0	1	0	2	20	1	1	0	0	0	0	3	3	1	1	0	0	1	0	0	3	0	0	7	3	0	0	0	6	0	0	3	7	15	0	128
Rozella allomycis	19	0	8	1	0	1	2	4	2	0	13	3	7	0	0	2	1	9	11	2	0	1	5	0	0	0	2	0	2	18	1	1	1	0	1	0	2	2	1	1	0	0	1	0	0	4	0	0	9	2	0	0	0	4	0	2	2	2	15	0	118
Fonticula alba	8	1	14	1	1	0	2	8	4	1	8	2	5	0	0	1	1	7	1	0	0	1	4	1	0	0	2	0	2	11	1	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	1	2	7	0	79
Thecamonas trahens	22	4	21	2	1	0	3	6	11	0	8	1	34	0	0	1	0	13	2	1	0	1	13	2	0	0	2	0	2	20	1	1	0	0	1	0	1	2	1	1	3	0	1	0	0	5	0	0	12	4	0	2	0	12	0	1	2	18	4	0	164
Pygsuia biforma	11	0	20	1	1	0	4	5	4	0	16	2	0	0	0	0	0	7	5	1	0	2	8	1	0	0	1	0	1	20	1	1	0	0	1	0	1	2	1	1	2	1	1	0	0	3	0	0	11	5	0	2	0	11	0	0	2	9	10	0	156
Dictyostelium discoideum	19	1	34	1	2	0	2	4	5	2	26	3	12	0	0	0	0	13	8	1	0	1	8	4	0	0	2	0	2	23	1	1	0	0	1	0	2	2	1	1	5	0	2	0	0	0	0	0	21	3	0	0	0	11	0	0	2	21	3	0	140
Tieghemostelium lacteum  	15	1	33	1	1	0	1	5	6	3	24	4	12	0	0	0	0	13	6	1	0	1	9	4	0	0	2	0	2	23	1	1	0	0	1	0	3	2	1	1	6	1	2	0	0	0	0	0	25	3	0	0	0	14	0	0	2	28	2	0	145
Heterostelium album	20	2	39	1	1	0	2	5	5	2	25	4	8	0	0	0	0	15	11	1	0	1	7	5	0	0	2	0	2	22	1	1	0	0	1	0	2	2	1	1	5	1	2	0	0	0	0	0	21	4	0	0	0	13	0	0	2	30	2	0	143
Cavenderia fasciculata	17	1	26	1	1	0	2	4	5	0	33	5	11	0	0	0	0	13	11	1	0	1	9	4	0	0	2	0	2	21	2	1	0	0	1	0	4	2	1	1	5	0	2	0	0	0	0	0	20	4	0	0	0	10	0	0	2	21	2	0	133
Mastigamoeba balamuthi	6	0	23	1	0	0	1	8	12	0	15	1	1	0	0	6	0	9	8	0	0	4	6	1	0	0	1	1	3	30	1	1	0	0	1	0	6	1	1	1	8	0	1	0	0	3	0	0	12	9	0	0	0	51	0	0	1	32	9	0	150
Acanthamoeba castellanii	14	3	43	0	1	0	1	7	18	3	38	3	23	0	0	2	0	15	15	1	0	2	15	1	0	0	1	0	5	28	1	0	0	0	1	0	2	3	1	1	9	1	0	0	0	0	0	0	19	6	0	3	0	50	0	0	1	42	6	0	189
Planoprotostelium fungivorum	20	8	41	2	1	0	1	10	9	3	38	6	27	0	0	3	0	21	55	1	0	2	28	2	0	0	1	0	2	40	2	2	0	0	1	0	2	2	1	1	9	0	2	0	0	4	0	0	20	6	0	4	0	17	0	0	2	22	5	0	198
Rigifila ramosa	17	2	24	2	1	0	2	6	10	0	17	2	22	0	0	1	0	9	11	1	0	1	15	3	0	0	2	2	3	33	1	1	1	0	1	0	2	2	1	1	10	0	2	0	0	0	0	0	15	4	1	2	0	6	0	1	1	14	0	0	437
Diphylleia rotans	14	2	21	1	1	0	2	8	5	1	23	4	11	0	0	0	0	11	11	1	0	1	11	4	0	0	2	5	3	26	2	1	0	0	1	0	5	2	1	1	2	0	2	0	0	5	0	0	11	5	2	2	0	9	0	0	3	94	3	0	302
Mantamonas plastica	13	1	75	2	0	0	2	14	12	0	8	3	27	0	0	0	2	6	4	1	0	1	4	0	0	0	1	0	2	27	2	0	1	0	1	0	2	0	1	1	2	0	1	0	0	4	0	0	11	5	0	0	0	7	0	0	0	36	2	0	188
Nutomonas longa	12	1	28	1	1	0	3	9	3	0	23	1	38	0	0	1	0	12	7	1	0	1	13	2	0	0	1	1	2	26	1	0	0	0	2	0	2	3	1	1	6	0	2	0	0	4	0	0	4	2	0	1	0	11	0	1	2	19	5	0	254
Ancyromonas sigmoides	11	1	19	1	2	0	3	5	4	0	20	2	20	0	0	1	0	10	3	1	0	0	15	2	0	0	1	0	2	30	2	0	0	0	1	0	4	1	1	1	5	0	1	0	0	4	0	0	4	4	0	1	0	9	0	0	2	16	5	0	196
Planomonas micra	13	1	27	1	1	0	2	6	7	1	33	3	33	0	0	1	1	12	8	1	0	1	10	1	0	0	1	1	3	26	1	1	0	0	1	0	2	3	0	1	3	0	3	0	0	5	0	0	7	5	0	0	0	6	0	1	2	19	2	0	207
Fabomonas tropica	7	1	50	4	0	0	2	13	12	1	20	2	47	0	0	1	1	12	8	1	0	0	10	1	0	0	2	0	2	21	1	0	0	0	0	0	1	1	0	2	0	1	3	0	0	4	0	0	7	5	0	0	0	10	0	1	1	19	23	0	204
Malawimonas californiana	12	1	21	1	0	0	2	2	4	1	15	3	12	0	0	2	0	9	10	1	0	2	13	1	0	0	1	1	2	24	2	1	0	0	0	0	2	3	1	1	4	1	1	0	0	6	0	0	9	4	0	0	0	16	0	0	2	30	8	0	211
Malawimonas jakobiformis	17	1	35	2	2	0	4	8	18	2	41	7	20	0	0	3	0	22	25	2	0	3	22	6	0	0	2	2	6	51	1	2	2	0	2	0	6	4	2	2	5	2	2	0	0	9	0	0	27	10	0	1	0	36	0	4	3	72	11	0	502
Gefionella okellyi (strain 249)	25	3	59	1	1	0	3	8	17	2	48	8	21	0	0	8	0	24	41	4	0	1	34	2	0	0	1	1	6	45	2	1	0	0	1	0	2	4	1	3	14	2	1	0	0	7	0	0	21	5	0	2	0	27	0	3	3	264	6	0	381
Meteora sp.	16	1	17	2	1	0	2	5	4	0	16	2	4	0	0	1	0	14	4	1	0	1	15	1	0	0	6	1	1	18	1	0	0	0	1	0	2	2	1	1	0	0	1	0	0	0	0	0	10	5	0	2	0	50	0	0	1	42	0	0	178
Arabidopsis thaliana	73	13	33	2	1	5	2	10	2	0	46	10	21	0	0	21	0	27	9	2	0	2	49	19	3	0	2	10	2	41	2	1	2	0	1	0	6	3	2	1	0	0	6	0	0	0	0	0	15	5	0	2	0	8	0	4	6	114	12	0	214
Mimulus guttatus	86	18	38	1	1	5	2	19	2	0	49	9	35	0	0	19	0	28	14	2	0	3	61	20	7	0	1	15	1	37	2	1	1	0	1	0	8	4	2	2	0	0	7	0	0	0	0	0	18	5	0	1	0	10	0	1	6	35	10	0	223
Aquilegia coerulea	57	10	48	1	4	3	2	15	3	0	55	13	37	0	0	34	0	30	18	4	0	1	53	24	6	0	4	12	1	53	2	1	1	0	3	0	8	5	3	1	0	0	7	0	0	0	0	0	21	3	0	6	0	11	0	4	6	46	19	0	273
Brachypodium distachyon	71	12	33	1	1	3	1	11	2	0	48	8	22	0	0	15	0	22	8	3	0	1	58	20	3	0	2	13	1	48	2	1	1	0	1	0	4	5	3	2	0	0	5	0	0	0	0	0	16	3	0	2	0	9	0	2	4	34	19	0	201
Sorghum bicolor	68	14	36	1	1	3	1	12	2	0	48	10	24	0	0	14	0	23	8	2	0	1	62	14	4	0	2	14	1	40	1	2	1	0	2	0	4	4	2	2	0	0	8	0	0	0	0	0	24	3	0	4	0	11	0	3	5	43	16	0	193
Amborella trichopoda	40	6	28	1	1	7	1	9	2	0	32	9	18	0	0	10	0	19	10	2	0	1	40	11	3	0	1	8	1	36	1	1	0	0	1	0	4	3	2	1	0	1	1	0	0	0	0	0	19	3	0	1	0	8	0	1	5	37	11	0	168
Salvinia cucullata	33	5	32	1	1	5	2	10	4	0	46	7	21	1	0	15	0	20	9	3	0	1	47	9	4	0	0	8	1	36	3	1	0	0	1	0	5	3	1	2	2	0	0	0	0	1	0	0	12	4	0	1	0	12	0	1	5	40	8	0	162
